Record number	Subjeect number	Error type	New subject text	Old subject text	Subject type
340448	21089	Subject replaced	Private life	Tischendorf, Gerhard (b. 1927)	2003
502329		Unknow subject text		Griffiths, John Cedric (1912	
502329	21064	Unknow subject number		--1992) [21064]	
502330		Unknow subject text		Chayes, Felix (1916	
502330	21065	Unknow subject number		--1993) [21065]	
502332	21066	Subject replaced	Museo del Collegio Romano	Krumbien, William Christian	institutions
502333	14057	Unknow subject number		biography [14057]	
502333	21067	Unknow subject number		Vistelius, A. B. [21067]	
750870	64	Unknow subject number		Antarctica [64]	
530255	1621	Unknow subject number		Mammals [1621]	
750852	464	Unknow subject number		Fire ants [464]	
550897	21057	Unknow subject number		Rashevsky, Nicolas [21057]	
501231	21045	Subject replaced	Reed, Walter (1851-1902)	Jucci, Carlo (1897-1962)	per. names
550474	21073	Subject replaced	Hartmann, Max (1876-1962)	Hartmann, Max	per. names
502360	21073	Subject replaced	Hartmann, Max (1876-1962)	Key, Kenneth Hedley Lewis (1911-2002)	per. names
502382	21078	Subject replaced	Electrical meteorology; optical meteorology	Rendel, James Meadows (1915-2001)	2003
550859	21056	Unknow subject number		Yule, George Udny [21056]	
501150	21080	Subject replaced	Skin	Temin, Howard M. (1934-1994)	2003
550393	21040	Unknow subject number		Cavalli-Sforza, L. Luca [21040]	
550898	21058	Unknow subject number		Hamburger, Viktor [21058]	
502361	21072	Subject replaced	Printing press	McIntyre, Archibald Keverall (1913-2002)	2003
471558	3106	Unknow subject number		Japanese Americans [3106]	
501084	10478	Subject replaced	Leach, Edmund Ronald	Leach, Edmund Ronald (1910-1989)	per. names
550671	4416	Unknow subject number		U.S. Army[4416]	
750899	17759	Unknow subject number		Medical research [17759]	
401250	15877	Unknow subject number		Surgery [15877]	
501465	21048	Subject replaced	Barrett, Lucas (1837-1862)	Phillips, Ethel Margaret (1876-1951)	per. names
502380	21076	Unknow subject number		Lancaster, Henry Oliver (1913-2001) [21076]	
500390	5156	Subject replaced	Sweden		geog. term
500390	4977	Subject replaced	Medicine		2003
500273		Unknow subject text		Easser, Ruth (1922	
500273	18096	Subject replaced	Easser, Ruth (1922--1975)	--1975)	per. names
500330	4977	Subject replaced	Medicine		2003
500330		Unknow subject text		Sociedad Espa<n~>ola de Higiene	
500167	15886	Unknow subject number		Women and health [15886]	
501275	21084	Subject replaced	Nigeria	Housing, prefabricated	geog. term
502403	15328	Subject replaced	Illich, Ivan (1926-)	Illich, Ivan (1926-2002)	per. names
502381	21077	Subject replaced	Fritz, Hermann (1830-1893)	McLennan, Ian Munro (1909-1998)	per. names
502356	21054	Subject replaced	Mooser, Hermann (1891-1971)	Schumacher, Ernst Friedrich (1911-1977)	per. names
501565	3292	Unknow subject number		Machine Learning [3292]	
502359	21074	Subject replaced	Angulo, Jaime de (1887-1950)	Emmens, Clifford Walter (1913-1999)	per. names
501387	21051	Subject replaced	Wright, Georg Henrik von (1916-2003)	Gesellschaft f<u">r Wissenschaftsgeschichte	per. names
550292	64	Unknow subject number		Antarctica[64]	
500345		Unknow subject text		Scholars	
502026	21015	Subject replaced	Lermontowa, Julia (1846-1919)	Catastophe theory (mathematics)	per. names
502028	21016	Subject replaced	Blanchet, Fran<c,>ois	Fuzzy logic	per. names
471098	2166	Unknow subject number		Brussels (Belgium) [2166]	
471098	11999	Subject replaced	Prigogine, Ilya (1917- )	Prigogine, Ilya	per. names
502024	21014	Subject replaced	Pick, Ludwig (1868-1944)	Boundary work	per. names
502029	21017	Subject replaced	Photometry	Organization (theories of)	2003
540015	14189	Unknow subject number		France [14189]	
500941	21031	Subject replaced	Mawe, John (1766-1829)	Regeneration	per. names
501423	18087	Subject replaced	Hunting	National Institute of Mental Health (United States)	2003
500961	21057	Unknow subject number		Luhmann, Niklas (1927-1998) [21057]	
502032	21018	Subject replaced	Communications, digital	Artificial life support	2003
502032	21020	Subject replaced	Shaposhinikov, Georgii (1915-1997)	Artificial life	per. names
520051	21042	Subject replaced	Epstein, T. Scarlett (1922-)	Reproductive technologies	per. names
500243	815	Unknow subject number		Medical education [815]	
550281	21085	Unknow subject number		Creutzfeldt-Jakob disease [21085]	
500281	18087	Subject replaced	Hunting	National Institute of Mental Health (United States)	2003
501421	18087	Subject replaced	Hunting	National Institute of Mental Health (United States)	2003
502033	21019	Subject replaced	Ben Verga, Judah (fl. 1455-1480)	Cyberspace	per. names
502033	21020	Subject replaced	Shaposhinikov, Georgii (1915-1997)	Artificial life	per. names
551084	21088	Unknow subject number		Privacy [21088]	
550221	1901	Unknow subject number		Apple Computer[1901]	
550221	21039	Unknow subject number		Jobs, Steve [21039]	
